food,Caloric_Value,Fat,Carbohydrates,Sugars,Protein,Dietary_Fiber,Cholesterol,Iron
cheeseburger mcdonalds,313,14,33.1,7.4,15.4,1.3,41.7,2.8
double cheeseburger,643,36.9,41,9.5,37,2.1,114,0.2
double hamburger,942,58.6,51.4,13.2,52.1,5.2,172,0.4
premium grilled chicken classic sandwich mcdonalds,366,8.6,44.6,10,28.3,2.8,68,3
big n tasty with cheese mcdonalds,573,36,39.7,9.5,27.2,3.2,91.4,4.4
premium grilled chicken club sandwich mcdonalds,493,18,44.3,6.4,38.3,2.7,102.6,3.1
quarter pounder mcdonalds,417,19.8,37.9,8.8,24.1,2.7,66.7,4.1
premium crispy chicken classic sandwich mcdonalds,524,20,58.6,12.4,27.8,3.2,59.8,3.3
veggie burger,124,4.4,10,0.7,11,3.4,3.5,1.7
quarter pounder with cheese mcdonalds,513,28.3,39.7,9.8,29,2.8,93.5,4.2
beef sandwich steak raw,173,15.1,0,0,9.2,0,39.8,1
cheeseburger,292,13.2,28.7,5.9,15,1.6,41.4,0.1
premium grilled chicken ranch blt sandwich mcdonalds,412,10.9,44.3,10.5,33.7,2.8,76.8,3
double whopper with cheese burger king,1061,68.1,53.9,14.4,57.7,6.4,187.5,21.1
big mac mcdonalds,563,32.8,44,8.7,25.9,3.5,78.8,4.4
sandwich with cold cuts,833,39.3,79.9,12.4,41.1,4.7,105.6,0.5
filet o fish mcdonalds,378,19.6,35.4,4.9,15.1,1.9,42.9,2.1
hand breaded chicken tenders carls jr,57,2.9,0.2,0,0,0,0,0
grilled chicken sandwich wendys,370,8,0,0,0,0,0,0
sandwich with roast beef,410,13,44.3,0,28.6,0,73.4,2.8
hamburger burger king,258,10.4,26.5,5.5,14.7,2,34.7,0.1
big n tasty mcdonalds,524,31.7,38.5,8.8,24.7,3.2,76.6,4.4
roast beef sandwich,364,15.3,33.1,5.7,22.6,1.9,44.7,0.1
roast beef sandwich with cheese,473,18,45.4,0,32.2,0,77.4,5.1
hamburger,255,9.9,28.7,5.8,12.9,1.7,28.1,0.027
premium fish sandwich burger king,572,27.4,58.7,7.8,22.6,2,68.2,3.3
whopper burger king,790,48.4,52.8,13,35.4,3.2,113.8,6.3
sandwich with tuna salad,584,28,55.4,0,29.7,0,48.6,2.6
original chicken sandwich burger king,569,29.2,52.2,6,24.2,4.8,61.7,3.6
double whopper burger king,942,58.6,51.4,13.2,52.1,5.2,172,10.5
premium crispy chicken club sandwich mcdonalds,635,29.9,57.4,12.7,39.1,3,96.5,3.4
hamburger mcdonalds,251,9.6,28.8,5.7,12.3,1.2,25.7,0.049
pepperoni pizza dominos,308,12.6,36,4.2,12.7,2.4,28.3,2.6
sausage pizza,325,14.3,35.5,3.9,13.3,2.7,26.7,0.1
pepperoni pizza,313,13.2,35.5,3.6,13,2.6,27.8,0.1
pepperoni pizza pizza hut,269,10.9,30.3,3.5,12.3,1.6,25,2.1
cheese pizza pizza hut,260,10.5,30,3.2,11.5,1.7,23,1.9
cheese pizza,285,10.4,35.7,3.8,12.2,2.5,18.2,0.1
cheese pizza dominos,278,9.7,35.9,4.3,11.7,2.4,18.4,2.5
meat vegetable pizza,332,14.8,34.5,5.1,15,3,36.7,2.5
sucker raw,146,3.7,0,0,26.6,0,65.2,2.1
northern pike raw,348,2.7,0,0,76.3,0,154.4,2.2
haddock cooked,135,0.8,0,0,30,0,99,0.3
burbot cooked,104,0.9,0,0,22.3,0,69.3,1
pollock cooked,356,3.8,0,0,75.3,0,274.8,1.8
rainbow smelt raw,27,0.7,0,0,5,0,19.8,0.3
whitefish cooked,265,11.6,0,0,37.7,0,118.6,0.7
walleye pike raw,148,1.9,0,0,30.4,0,136.7,2.1
